COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
OECDTOT,BALANCE,TOTPRODS,REFFUEL,YTD2021,56195.935
OECDTOT,BALANCE,TOTPRODS,REFFUEL,YTD2022,54017.34
OECDTOT,BALANCE,TOTPRODS,REFGROUT,2020,1751475.179
OECDTOT,BALANCE,TOTPRODS,REFGROUT,2021,1823456.197
OECDTOT,BALANCE,TOTPRODS,REFGROUT,3Q2022,353155.452
OECDTOT,BALANCE,TOTPRODS,REFGROUT,SEP2021,152987.913
OECDTOT,BALANCE,TOTPRODS,REFGROUT,SEP2022,22359.901
OECDTOT,BALANCE,TOTPRODS,REFGROUT,YTD2021,1346804.723
OECDTOT,BALANCE,TOTPRODS,REFGROUT,YTD2022,1281524.065
OECDTOT,BALANCE,TOTPRODS,STATDIFF,2020,28886.095
OECDTOT,BALANCE,TOTPRODS,STATDIFF,2021,43449.142
OECDTOT,BALANCE,TOTPRODS,STATDIFF,3Q2022,4479.082
OECDTOT,BALANCE,TOTPRODS,STATDIFF,SEP2021,3780.046
OECDTOT,BALANCE,TOTPRODS,STATDIFF,SEP2022,301.628
OECDTOT,BALANCE,TOTPRODS,STATDIFF,YTD2021,37998.952
OECDTOT,BALANCE,TOTPRODS,STATDIFF,YTD2022,15237.098
OECDTOT,BALANCE,TOTPRODS,STCHANAT,2020,8653.813
OECDTOT,BALANCE,TOTPRODS,STCHANAT,2021,-24644.524
OECDTOT,BALANCE,TOTPRODS,STCHANAT,3Q2022,2211.69
OECDTOT,BALANCE,TOTPRODS,STCHANAT,SEP2021,-5224.832
OECDTOT,BALANCE,TOTPRODS,STCHANAT,SEP2022,13.847
OECDTOT,BALANCE,TOTPRODS,STCHANAT,YTD2021,-15267.761
OECDTOT,BALANCE,TOTPRODS,STCHANAT,YTD2022,-940.189
OECDTOT,BALANCE,TOTPRODS,TOTEXPSB,2020,617237.984
OECDTOT,BALANCE,TOTPRODS,TOTEXPSB,2021,649716.148
OECDTOT,BALANCE,TOTPRODS,TOTEXPSB,3Q2022,125071.042
OECDTOT,BALANCE,TOTPRODS,TOTEXPSB,SEP2021,53781.586
OECDTOT,BALANCE,TOTPRODS,TOTEXPSB,SEP2022,7744.189
OECDTOT,BALANCE,TOTPRODS,TOTEXPSB,YTD2021,477845.796
OECDTOT,BALANCE,TOTPRODS,TOTEXPSB,YTD2022,455231.245
OECDTOT,BALANCE,TOTPRODS,TOTIMPSB,2020,560512.964
OECDTOT,BALANCE,TOTPRODS,TOTIMPSB,2021,611283.942
OECDTOT,BALANCE,TOTPRODS,TOTIMPSB,3Q2022,108842.56
OECDTOT,BALANCE,TOTPRODS,TOTIMPSB,SEP2021,50211.019
OECDTOT,BALANCE,TOTPRODS,TOTIMPSB,SEP2022,4616.668
OECDTOT,BALANCE,TOTPRODS,TOTIMPSB,YTD2021,453411.043
OECDTOT,BALANCE,TOTPRODS,TOTIMPSB,YTD2022,404936.882
OECDAM,BALANCE,CRNGFEED,INDPROD,2020,1051021.348
OECDAM,BALANCE,CRNGFEED,INDPROD,2021,1094390.454
OECDAM,BALANCE,CRNGFEED,INDPROD,3Q2022,216127.207
OECDAM,BALANCE,CRNGFEED,INDPROD,SEP2021,89098.634
OECDAM,BALANCE,CRNGFEED,INDPROD,SEP2022,23857.277
OECDAM,BALANCE,CRNGFEED,INDPROD,YTD2021,815310.663
OECDAM,BALANCE,CRNGFEED,INDPROD,YTD2022,760246.548
OECDAO,BALANCE,CRNGFEED,INDPROD,2020,21531.397
OECDAO,BALANCE,CRNGFEED,INDPROD,2021,20599.899
OECDAO,BALANCE,CRNGFEED,INDPROD,3Q2022,2866.839
OECDAO,BALANCE,CRNGFEED,INDPROD,SEP2021,1836.666
OECDAO,BALANCE,CRNGFEED,INDPROD,SEP2022,96.941
OECDAO,BALANCE,CRNGFEED,INDPROD,YTD2021,15299.144
OECDAO,BALANCE,CRNGFEED,INDPROD,YTD2022,12786.564
OECDEUR,BALANCE,CRNGFEED,INDPROD,2020,161453.123
OECDEUR,BALANCE,CRNGFEED,INDPROD,2021,156132.569
OECDEUR,BALANCE,CRNGFEED,INDPROD,3Q2022,25094.205
OECDEUR,BALANCE,CRNGFEED,INDPROD,SEP2021,12984.535
OECDEUR,BALANCE,CRNGFEED,INDPROD,SEP2022,232.0
OECDEUR,BALANCE,CRNGFEED,INDPROD,YTD2021,116548.631
OECDEUR,BALANCE,CRNGFEED,INDPROD,YTD2022,98268.742
OECDTOT,BALANCE,CRNGFEED,INDPROD,2020,1234005.868
OECDTOT,BALANCE,CRNGFEED,INDPROD,2021,1271122.922
OECDTOT,BALANCE,CRNGFEED,INDPROD,3Q2022,244088.251
OECDTOT,BALANCE,CRNGFEED,INDPROD,SEP2021,103919.835
OECDTOT,BALANCE,CRNGFEED,INDPROD,SEP2022,24186.218
OECDTOT,BALANCE,CRNGFEED,INDPROD,YTD2021,947158.438
OECDTOT,BALANCE,CRNGFEED,INDPROD,YTD2022,871301.854
SLOVAKIA,BALANCE,CRNGFEED,INDPROD,SEP2021,0.429
DENMARK,BALANCE,CRNGFEED,INDPROD,SEP2021,259.0
KOREA,BALANCE,CRNGFEED,INDPROD,SEP2021,92.151
ISRAEL,BALANCE,CRNGFEED,INDPROD,SEP2021,11.0
GREECE,BALANCE,CRNGFEED,INDPROD,SEP2021,6.478
TURKIYE,BALANCE,CRNGFEED,INDPROD,SEP2021,287.147
POLAND,BALANCE,CRNGFEED,INDPROD,SEP2021,50.299
LITHUANIA,BALANCE,CRNGFEED,INDPROD,SEP2021,2.5
NORWAY,BALANCE,CRNGFEED,INDPROD,SEP2021,7876.92
GERMANY,BALANCE,CRNGFEED,INDPROD,SEP2021,248.142
AUSTRIA,BALANCE,CRNGFEED,INDPROD,SEP2021,48.49
JAPAN,BALANCE,CRNGFEED,INDPROD,SEP2021,29.366
AUSTRALI,BALANCE,CRNGFEED,INDPROD,SEP2021,1629.149
FRANCE,BALANCE,CRNGFEED,INDPROD,SEP2021,81.0
NZ,BALANCE,CRNGFEED,INDPROD,SEP2021,75.0
CANADA,BALANCE,CRNGFEED,INDPROD,SEP2021,21293.332
SPAIN,BALANCE,CRNGFEED,INDPROD,SEP2021,0.089
HUNGARY,BALANCE,CRNGFEED,INDPROD,SEP2021,94.0
CZECH,BALANCE,CRNGFEED,INDPROD,SEP2021,7.0
UK,BALANCE,CRNGFEED,INDPROD,SEP2021,3457.0
MEXICO,BALANCE,CRNGFEED,INDPROD,SEP2021,7873.0
CHILE,BALANCE,CRNGFEED,INDPROD,SEP2021,34.509
USA,BALANCE,CRNGFEED,INDPROD,SEP2021,56657.0
NETHLAND,BALANCE,CRNGFEED,INDPROD,SEP2021,59.832
ITALY,BALANCE,CRNGFEED,INDPROD,SEP2021,506.209
KOREA,BALANCE,CRNGFEED,INDPROD,SEP2022,96.941
DENMARK,BALANCE,CRNGFEED,INDPROD,SEP2022,232.0
CANADA,BALANCE,CRNGFEED,INDPROD,SEP2022,23857.277
COLOMBIA,BALANCE,CRNGFEED,INDPROD,SEP2021,3240.793
AUSTRALI,BALANCE,CRNGFEED,INDPROD,3Q2022,2342.0
AUSTRIA,BALANCE,CRNGFEED,INDPROD,3Q2022,84.833
CANADA,BALANCE,CRNGFEED,INDPROD,3Q2022,70998.256
CHILE,BALANCE,CRNGFEED,INDPROD,3Q2022,69.951
CZECH,BALANCE,CRNGFEED,INDPROD,3Q2022,13.0
DENMARK,BALANCE,CRNGFEED,INDPROD,3Q2022,766.0
FRANCE,BALANCE,CRNGFEED,INDPROD,3Q2022,152.0
GERMANY,BALANCE,CRNGFEED,INDPROD,3Q2022,525.193
HUNGARY,BALANCE,CRNGFEED,INDPROD,3Q2022,192.0
ISRAEL,BALANCE,CRNGFEED,INDPROD,3Q2022,22.0
ITALY,BALANCE,CRNGFEED,INDPROD,3Q2022,836.307
JAPAN,BALANCE,CRNGFEED,INDPROD,3Q2022,51.939
KOREA,BALANCE,CRNGFEED,INDPROD,3Q2022,304.9
LITHUANIA,BALANCE,CRNGFEED,INDPROD,3Q2022,4.6
MEXICO,BALANCE,CRNGFEED,INDPROD,3Q2022,16335.0
NETHLAND,BALANCE,CRNGFEED,INDPROD,3Q2022,122.63
NORWAY,BALANCE,CRNGFEED,INDPROD,3Q2022,15621.684
NZ,BALANCE,CRNGFEED,INDPROD,3Q2022,146.0
POLAND,BALANCE,CRNGFEED,INDPROD,3Q2022,161.161
SLOVAKIA,BALANCE,CRNGFEED,INDPROD,3Q2022,0.377
SPAIN,BALANCE,CRNGFEED,INDPROD,3Q2022,0.073
TURKIYE,BALANCE,CRNGFEED,INDPROD,3Q2022,631.347
UK,BALANCE,CRNGFEED,INDPROD,3Q2022,5983.0
USA,BALANCE,CRNGFEED,INDPROD,3Q2022,128724.0
AUSTRALI,BALANCE,CRNGFEED,INDPROD,2021,18029.758
AUSTRIA,BALANCE,CRNGFEED,INDPROD,2021,561.852
CANADA,BALANCE,CRNGFEED,INDPROD,2021,266608.528
CHILE,BALANCE,CRNGFEED,INDPROD,2021,340.997
COLOMBIA,BALANCE,CRNGFEED,INDPROD,2021,29503.498
CZECH,BALANCE,CRNGFEED,INDPROD,2021,87.0
DENMARK,BALANCE,CRNGFEED,INDPROD,2021,3239.0
FRANCE,BALANCE,CRNGFEED,INDPROD,2021,874.0
GERMANY,BALANCE,CRNGFEED,INDPROD,2021,3085.15
GREECE,BALANCE,CRNGFEED,INDPROD,2021,58.754
HUNGARY,BALANCE,CRNGFEED,INDPROD,2021,1095.0
ISRAEL,BALANCE,CRNGFEED,INDPROD,2021,132.0
ITALY,BALANCE,CRNGFEED,INDPROD,2021,5831.078
JAPAN,BALANCE,CRNGFEED,INDPROD,2021,383.249
KOREA,BALANCE,CRNGFEED,INDPROD,2021,1078.892
LITHUANIA,BALANCE,CRNGFEED,INDPROD,2021,28.6
MEXICO,BALANCE,CRNGFEED,INDPROD,2021,95425.431
NETHLAND,BALANCE,CRNGFEED,INDPROD,2021,1121.065
NORWAY,BALANCE,CRNGFEED,INDPROD,2021,95055.743
NZ,BALANCE,CRNGFEED,INDPROD,2021,976.0
POLAND,BALANCE,CRNGFEED,INDPROD,2021,895.294
SLOVAKIA,BALANCE,CRNGFEED,INDPROD,2021,4.557
SPAIN,BALANCE,CRNGFEED,INDPROD,2021,5.816
TURKIYE,BALANCE,CRNGFEED,INDPROD,2021,3441.66
UK,BALANCE,CRNGFEED,INDPROD,2021,40748.0
USA,BALANCE,CRNGFEED,INDPROD,2021,702512.0
AUSTRALI,BALANCE,CRNGFEED,INDPROD,2020,18967.0
AUSTRIA,BALANCE,CRNGFEED,INDPROD,2020,562.2
CANADA,BALANCE,CRNGFEED,INDPROD,2020,250767.503
CHILE,BALANCE,CRNGFEED,INDPROD,2020,361.845
CZECH,BALANCE,CRNGFEED,INDPROD,2020,95.0
DENMARK,BALANCE,CRNGFEED,INDPROD,2020,3520.0
FRANCE,BALANCE,CRNGFEED,INDPROD,2020,902.0
GERMANY,BALANCE,CRNGFEED,INDPROD,2020,3230.932
GREECE,BALANCE,CRNGFEED,INDPROD,2020,91.494
HUNGARY,BALANCE,CRNGFEED,INDPROD,2020,1007.0
ISRAEL,BALANCE,CRNGFEED,INDPROD,2020,132.0
ITALY,BALANCE,CRNGFEED,INDPROD,2020,5968.0
JAPAN,BALANCE,CRNGFEED,INDPROD,2020,401.591
KOREA,BALANCE,CRNGFEED,INDPROD,2020,925.806
LITHUANIA,BALANCE,CRNGFEED,INDPROD,2020,31.4
MEXICO,BALANCE,CRNGFEED,INDPROD,2020,94555.0
NETHLAND,BALANCE,CRNGFEED,INDPROD,2020,1043.0
NORWAY,BALANCE,CRNGFEED,INDPROD,2020,92695.04
NZ,BALANCE,CRNGFEED,INDPROD,2020,1105.0
POLAND,BALANCE,CRNGFEED,INDPROD,2020,943.619
SLOVAKIA,BALANCE,CRNGFEED,INDPROD,2020,1.514
SPAIN,BALANCE,CRNGFEED,INDPROD,2020,27.0
TURKIYE,BALANCE,CRNGFEED,INDPROD,2020,3202.924
UK,BALANCE,CRNGFEED,INDPROD,2020,48132.0
USA,BALANCE,CRNGFEED,INDPROD,2020,705337.0
AUSTRALI,BALANCE,CRNGFEED,INDPROD,YTD2022,10993.957
AUSTRIA,BALANCE,CRNGFEED,INDPROD,YTD2022,351.055
CANADA,BALANCE,CRNGFEED,INDPROD,YTD2022,204574.019
CHILE,BALANCE,CRNGFEED,INDPROD,YTD2022,272.529
CZECH,BALANCE,CRNGFEED,INDPROD,YTD2022,51.0
DENMARK,BALANCE,CRNGFEED,INDPROD,YTD2022,2407.0
FRANCE,BALANCE,CRNGFEED,INDPROD,YTD2022,618.0
GERMANY,BALANCE,CRNGFEED,INDPROD,YTD2022,1966.068
HUNGARY,BALANCE,CRNGFEED,INDPROD,YTD2022,720.0
ISRAEL,BALANCE,CRNGFEED,INDPROD,YTD2022,88.0
ITALY,BALANCE,CRNGFEED,INDPROD,YTD2022,3504.359
JAPAN,BALANCE,CRNGFEED,INDPROD,YTD2022,223.78
KOREA,BALANCE,CRNGFEED,INDPROD,YTD2022,889.827
LITHUANIA,BALANCE,CRNGFEED,INDPROD,YTD2022,17.8
MEXICO,BALANCE,CRNGFEED,INDPROD,YTD2022,63764.0
NETHLAND,BALANCE,CRNGFEED,INDPROD,YTD2022,506.864
NORWAY,BALANCE,CRNGFEED,INDPROD,YTD2022,59223.121
NZ,BALANCE,CRNGFEED,INDPROD,YTD2022,591.0
POLAND,BALANCE,CRNGFEED,INDPROD,YTD2022,613.371
SLOVAKIA,BALANCE,CRNGFEED,INDPROD,YTD2022,1.35
SPAIN,BALANCE,CRNGFEED,INDPROD,YTD2022,0.473
TURKIYE,BALANCE,CRNGFEED,INDPROD,YTD2022,2331.281
UK,BALANCE,CRNGFEED,INDPROD,YTD2022,25957.0
USA,BALANCE,CRNGFEED,INDPROD,YTD2022,491636.0
AUSTRALI,BALANCE,CRNGFEED,INDPROD,YTD2021,13363.178
AUSTRIA,BALANCE,CRNGFEED,INDPROD,YTD2021,426.96
CANADA,BALANCE,CRNGFEED,INDPROD,YTD2021,196501.77
CHILE,BALANCE,CRNGFEED,INDPROD,YTD2021,237.964
COLOMBIA,BALANCE,CRNGFEED,INDPROD,YTD2021,29503.498
CZECH,BALANCE,CRNGFEED,INDPROD,YTD2021,64.0
DENMARK,BALANCE,CRNGFEED,INDPROD,YTD2021,2410.0
FRANCE,BALANCE,CRNGFEED,INDPROD,YTD2021,670.0
GERMANY,BALANCE,CRNGFEED,INDPROD,YTD2021,2335.33
GREECE,BALANCE,CRNGFEED,INDPROD,YTD2021,58.754
HUNGARY,BALANCE,CRNGFEED,INDPROD,YTD2021,817.0
ISRAEL,BALANCE,CRNGFEED,INDPROD,YTD2021,99.0
ITALY,BALANCE,CRNGFEED,INDPROD,YTD2021,4304.834
JAPAN,BALANCE,CRNGFEED,INDPROD,YTD2021,291.86
KOREA,BALANCE,CRNGFEED,INDPROD,YTD2021,812.106
LITHUANIA,BALANCE,CRNGFEED,INDPROD,YTD2021,21.3
MEXICO,BALANCE,CRNGFEED,INDPROD,YTD2021,71265.431
NETHLAND,BALANCE,CRNGFEED,INDPROD,YTD2021,902.696
NORWAY,BALANCE,CRNGFEED,INDPROD,YTD2021,70803.278
NZ,BALANCE,CRNGFEED,INDPROD,YTD2021,733.0
